delivery_date,hour_ending,repeated_hour_flag,settlement_point,settlement_point_price
02/01/2021,01:00,N,HB_BUSAVG,20.04
02/01/2021,01:00,N,HB_HOUSTON,20.19
02/01/2021,01:00,N,HB_HUBAVG,19.91
02/01/2021,01:00,N,HB_NORTH,20.8
02/01/2021,01:00,N,HB_PAN,21.08
02/01/2021,01:00,N,HB_SOUTH,17.42
02/01/2021,01:00,N,HB_WEST,21.23
02/01/2021,01:00,N,LZ_AEN,20.83
02/01/2021,01:00,N,LZ_CPS,21.87
02/01/2021,01:00,N,LZ_HOUSTON,20.19
02/01/2021,01:00,N,LZ_LCRA,21.05
02/01/2021,01:00,N,LZ_NORTH,20.83
02/01/2021,01:00,N,LZ_RAYBN,20.83
02/01/2021,01:00,N,LZ_SOUTH,14.64
02/01/2021,01:00,N,LZ_WEST,21.96
02/01/2021,02:00,N,HB_BUSAVG,18.79
02/01/2021,02:00,N,HB_HOUSTON,18.99
02/01/2021,02:00,N,HB_HUBAVG,18.66
02/01/2021,02:00,N,HB_NORTH,19.6
02/01/2021,02:00,N,HB_PAN,19.87
02/01/2021,02:00,N,HB_SOUTH,16.04
02/01/2021,02:00,N,HB_WEST,20
02/01/2021,02:00,N,LZ_AEN,19.64
02/01/2021,02:00,N,LZ_CPS,20.64
02/01/2021,02:00,N,LZ_HOUSTON,19
02/01/2021,02:00,N,LZ_LCRA,19.89
02/01/2021,02:00,N,LZ_NORTH,19.64
02/01/2021,02:00,N,LZ_RAYBN,19.75
02/01/2021,02:00,N,LZ_SOUTH,13.06
02/01/2021,02:00,N,LZ_WEST,20.51
02/01/2021,03:00,N,HB_BUSAVG,19.08
02/01/2021,03:00,N,HB_HOUSTON,19.2
02/01/2021,03:00,N,HB_HUBAVG,18.94
02/01/2021,03:00,N,HB_NORTH,19.93
02/01/2021,03:00,N,HB_PAN,20.23
02/01/2021,03:00,N,HB_SOUTH,16.23
02/01/2021,03:00,N,HB_WEST,20.4
02/01/2021,03:00,N,LZ_AEN,19.9
02/01/2021,03:00,N,LZ_CPS,21.09
02/01/2021,03:00,N,LZ_HOUSTON,19.2
02/01/2021,03:00,N,LZ_LCRA,20.15
02/01/2021,03:00,N,LZ_NORTH,20
02/01/2021,03:00,N,LZ_RAYBN,20.6
02/01/2021,03:00,N,LZ_SOUTH,13.47
02/01/2021,03:00,N,LZ_WEST,21.05
02/01/2021,04:00,N,HB_BUSAVG,20.05
02/01/2021,04:00,N,HB_HOUSTON,20.1
02/01/2021,04:00,N,HB_HUBAVG,19.91
02/01/2021,04:00,N,HB_NORTH,20.96
02/01/2021,04:00,N,HB_PAN,21.34
02/01/2021,04:00,N,HB_SOUTH,17
02/01/2021,04:00,N,HB_WEST,21.57
02/01/2021,04:00,N,LZ_AEN,20.81
02/01/2021,04:00,N,LZ_CPS,22.28
02/01/2021,04:00,N,LZ_HOUSTON,20.09
02/01/2021,04:00,N,LZ_LCRA,21.13
02/01/2021,04:00,N,LZ_NORTH,21.03
02/01/2021,04:00,N,LZ_RAYBN,21.6
02/01/2021,04:00,N,LZ_SOUTH,14.43
02/01/2021,04:00,N,LZ_WEST,22.1
02/01/2021,05:00,N,HB_BUSAVG,20.65
02/01/2021,05:00,N,HB_HOUSTON,20.69
02/01/2021,05:00,N,HB_HUBAVG,20.52
02/01/2021,05:00,N,HB_NORTH,21.4
02/01/2021,05:00,N,HB_PAN,21.68
02/01/2021,05:00,N,HB_SOUTH,18.15
02/01/2021,05:00,N,HB_WEST,21.84
02/01/2021,05:00,N,LZ_AEN,21.33
02/01/2021,05:00,N,LZ_CPS,22.37
02/01/2021,05:00,N,LZ_HOUSTON,20.69
02/01/2021,05:00,N,LZ_LCRA,21.59
02/01/2021,05:00,N,LZ_NORTH,21.54
02/01/2021,05:00,N,LZ_RAYBN,23.23
02/01/2021,05:00,N,LZ_SOUTH,15.88
02/01/2021,05:00,N,LZ_WEST,22.48
02/01/2021,06:00,N,HB_BUSAVG,25.38
02/01/2021,06:00,N,HB_HOUSTON,25.37
02/01/2021,06:00,N,HB_HUBAVG,25.21
02/01/2021,06:00,N,HB_NORTH,26.28
02/01/2021,06:00,N,HB_PAN,26.57
02/01/2021,06:00,N,HB_SOUTH,22.5
02/01/2021,06:00,N,HB_WEST,26.71
02/01/2021,06:00,N,LZ_AEN,26.19
02/01/2021,06:00,N,LZ_CPS,27.33
02/01/2021,06:00,N,LZ_HOUSTON,25.38
02/01/2021,06:00,N,LZ_LCRA,26.44
02/01/2021,06:00,N,LZ_NORTH,26.59
02/01/2021,06:00,N,LZ_RAYBN,30.69
02/01/2021,06:00,N,LZ_SOUTH,20.47
02/01/2021,06:00,N,LZ_WEST,27.22
02/01/2021,07:00,N,HB_BUSAVG,44.97
02/01/2021,07:00,N,HB_HOUSTON,45.38
02/01/2021,07:00,N,HB_HUBAVG,44.7
02/01/2021,07:00,N,HB_NORTH,46.45
02/01/2021,07:00,N,HB_PAN,46.58
02/01/2021,07:00,N,HB_SOUTH,40.15
02/01/2021,07:00,N,HB_WEST,46.81
02/01/2021,07:00,N,LZ_AEN,46.45
02/01/2021,07:00,N,LZ_CPS,46.69
02/01/2021,07:00,N,LZ_HOUSTON,45.67
02/01/2021,07:00,N,LZ_LCRA,46.48
02/01/2021,07:00,N,LZ_NORTH,47.34
02/01/2021,07:00,N,LZ_RAYBN,58.69
02/01/2021,07:00,N,LZ_SOUTH,39.48
02/01/2021,07:00,N,LZ_WEST,47.25
02/01/2021,08:00,N,HB_BUSAVG,50.24
02/01/2021,08:00,N,HB_HOUSTON,50.03
02/01/2021,08:00,N,HB_HUBAVG,50.02
02/01/2021,08:00,N,HB_NORTH,51.45
02/01/2021,08:00,N,HB_PAN,51.77
02/01/2021,08:00,N,HB_SOUTH,46.39
02/01/2021,08:00,N,HB_WEST,52.19
02/01/2021,08:00,N,LZ_AEN,52.64
02/01/2021,08:00,N,LZ_CPS,53.17
02/01/2021,08:00,N,LZ_HOUSTON,50.01
02/01/2021,08:00,N,LZ_LCRA,57.69
02/01/2021,08:00,N,LZ_NORTH,51.83
02/01/2021,08:00,N,LZ_RAYBN,55.2
02/01/2021,08:00,N,LZ_SOUTH,45.84
02/01/2021,08:00,N,LZ_WEST,52.64
02/01/2021,09:00,N,HB_BUSAVG,34.91
02/01/2021,09:00,N,HB_HOUSTON,34.92
02/01/2021,09:00,N,HB_HUBAVG,34.8
02/01/2021,09:00,N,HB_NORTH,35.4
02/01/2021,09:00,N,HB_PAN,34.72
02/01/2021,09:00,N,HB_SOUTH,33.35
02/01/2021,09:00,N,HB_WEST,35.54
02/01/2021,09:00,N,LZ_AEN,37.86
02/01/2021,09:00,N,LZ_CPS,36.49
02/01/2021,09:00,N,LZ_HOUSTON,34.94
02/01/2021,09:00,N,LZ_LCRA,37.85
02/01/2021,09:00,N,LZ_NORTH,35.93
02/01/2021,09:00,N,LZ_RAYBN,38.42
02/01/2021,09:00,N,LZ_SOUTH,33.06
02/01/2021,09:00,N,LZ_WEST,35.83
02/01/2021,10:00,N,HB_BUSAVG,26.26
02/01/2021,10:00,N,HB_HOUSTON,26.26
02/01/2021,10:00,N,HB_HUBAVG,26.23
02/01/2021,10:00,N,HB_NORTH,26.4
02/01/2021,10:00,N,HB_PAN,25.96
02/01/2021,10:00,N,HB_SOUTH,25.81
02/01/2021,10:00,N,HB_WEST,26.46
02/01/2021,10:00,N,LZ_AEN,28.77
02/01/2021,10:00,N,LZ_CPS,26.29
02/01/2021,10:00,N,LZ_HOUSTON,26.28
02/01/2021,10:00,N,LZ_LCRA,27.08
02/01/2021,10:00,N,LZ_NORTH,26.65
02/01/2021,10:00,N,LZ_RAYBN,27.8
02/01/2021,10:00,N,LZ_SOUTH,25.98
02/01/2021,10:00,N,LZ_WEST,26.67
02/01/2021,11:00,N,HB_BUSAVG,22.37
02/01/2021,11:00,N,HB_HOUSTON,22.37
02/01/2021,11:00,N,HB_HUBAVG,22.37
02/01/2021,11:00,N,HB_NORTH,22.4
02/01/2021,11:00,N,HB_PAN,21.91
02/01/2021,11:00,N,HB_SOUTH,22.27
02/01/2021,11:00,N,HB_WEST,22.42
02/01/2021,11:00,N,LZ_AEN,22.87
02/01/2021,11:00,N,LZ_CPS,22.4
02/01/2021,11:00,N,LZ_HOUSTON,22.4
02/01/2021,11:00,N,LZ_LCRA,22.61
02/01/2021,11:00,N,LZ_NORTH,22.47
02/01/2021,11:00,N,LZ_RAYBN,22.87
02/01/2021,11:00,N,LZ_SOUTH,22.41
02/01/2021,11:00,N,LZ_WEST,22.58
02/01/2021,12:00,N,HB_BUSAVG,19.72
02/01/2021,12:00,N,HB_HOUSTON,19.81
02/01/2021,12:00,N,HB_HUBAVG,19.72
02/01/2021,12:00,N,HB_NORTH,19.77
02/01/2021,12:00,N,HB_PAN,18.63
02/01/2021,12:00,N,HB_SOUTH,19.51
02/01/2021,12:00,N,HB_WEST,19.78
02/01/2021,12:00,N,LZ_AEN,20.55
02/01/2021,12:00,N,LZ_CPS,19.66
02/01/2021,12:00,N,LZ_HOUSTON,19.84
02/01/2021,12:00,N,LZ_LCRA,19.77
02/01/2021,12:00,N,LZ_NORTH,19.79
02/01/2021,12:00,N,LZ_RAYBN,20.01
02/01/2021,12:00,N,LZ_SOUTH,19.84
02/01/2021,12:00,N,LZ_WEST,19.87
02/01/2021,13:00,N,HB_BUSAVG,19.52
02/01/2021,13:00,N,HB_HOUSTON,19.68
02/01/2021,13:00,N,HB_HUBAVG,19.53
02/01/2021,13:00,N,HB_NORTH,19.55
02/01/2021,13:00,N,HB_PAN,18.27
02/01/2021,13:00,N,HB_SOUTH,19.33
02/01/2021,13:00,N,HB_WEST,19.55
02/01/2021,13:00,N,LZ_AEN,19.9
02/01/2021,13:00,N,LZ_CPS,19.44
02/01/2021,13:00,N,LZ_HOUSTON,19.74
02/01/2021,13:00,N,LZ_LCRA,19.45
02/01/2021,13:00,N,LZ_NORTH,19.57
02/01/2021,13:00,N,LZ_RAYBN,19.79
02/01/2021,13:00,N,LZ_SOUTH,19.62
02/01/2021,13:00,N,LZ_WEST,19.62
02/01/2021,14:00,N,HB_BUSAVG,18.56
02/01/2021,14:00,N,HB_HOUSTON,18.67
02/01/2021,14:00,N,HB_HUBAVG,18.56
02/01/2021,14:00,N,HB_NORTH,18.57
02/01/2021,14:00,N,HB_PAN,16.48
